City,BHK,Location,Price,Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
Hyderabad,2,Hitech City,55000,1051,Flat,Semi-Furnished,East,Garden/Park,2,1,Family,Immediately
Hyderabad,3,Kondapur,60000,1610,Flat,Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,Miyapur,29000,1632,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,Kondapur,47000,2200,Villa,Furnished,West,Garden/Park,3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,35000,1835,Flat,Semi-Furnished,West,Garden/Park,3,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,21000,1450,House,Semi-Furnished,East,Garden/Park,2,2,Bachelors,Immediately
Hyderabad,3,Kokapet,63000,1800,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,16500,900,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,10000,600,House,Unfurnished,North,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,10000,1100,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,30000,2500,Villa,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,3,Nalagandla,47000,1500,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,25000,900,House,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,25000,1047,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,28000,1250,Flat,Furnished,East,Main Road,2,2,Bachelors,Immediately
Hyderabad,3,Manikonda,65000,3000,Villa,Furnished,East,"Garden/Park, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,Narsingi,85000,2000,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,2,Family,Immediately
Hyderabad,3,Banjara Hills,75000,1836,Flat,Furnished,East,Main Road,3,3,Bachelors,Immediately
Hyderabad,4,Chanda Nagar,70000,3200,Villa,Unfurnished,East,"Garden/Park, Pool, Main Road",5,1,Bachelors/Family,Immediately
Hyderabad,1,Kondapur,9000,900,House,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,35000,1800,House,Unfurnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,1,Kondapur,17000,199,Flat,Semi-Furnished,North,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,Narsingi,85000,2200,Flat,Semi-Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,54000,2000,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,1,Family,Immediately
Hyderabad,3,Kondapur,20000,1500,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,4,Nizampet,45000,3000,Flat,Furnished,East,Garden/Park,5,2,Bachelors,Immediately
Hyderabad,3,Kondapur,20000,1900,House,Unfurnished,North - East,"Garden/Park, Main Road",3,3,Bachelors/Family,Immediately
Hyderabad,3,Gachibowli,75000,2200,Flat,Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,60000,1231,Flat,Semi-Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,30000,1100,Flat,Semi-Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Chanda Nagar,32000,1550,Apartment,Semi-Furnished,East,Main Road,2,2,Family,Immediately
Hyderabad,2,Uppal,26000,800,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,3,Financial District,70000,1900,Flat,Semi-Furnished,West,Garden/Park,3,3,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,18000,1140,Flat,Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,55000,2060,Flat,Furnished,East,"Garden/Park, Pool",3,1,Bachelors,Immediately
Hyderabad,3,Nalagandla,55000,1275,Flat,Unfurnished,West,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,58000,2100,Flat,Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Hafeezpet,55000,2000,Flat,Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,29000,1800,House,Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Hitech City,47000,1500,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,3,Kompally,35000,1720,Flat,Furnished,West,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,35000,1000,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,3,Narsingi,58000,1535,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,30000,1710,Flat,Semi-Furnished,East,Garden/Park,3,2,Family,Immediately
Hyderabad,3,Kondapur,20000,1500,Villa,Semi-Furnished,East,Main Road,4,1,Bachelors,Immediately
Hyderabad,3,Kondapur,65000,2000,Flat,Semi-Furnished,North,Main Road,3,3,Family,Immediately
Hyderabad,3,Nalagandla,60000,1800,Flat,Furnished,North - West,Garden/Park,3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,62000,1300,Flat,Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,3,Kokapet,65000,1769,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Tellapur,50000,2500,Villa,Semi-Furnished,West,Garden/Park,3,2,Bachelors,Immediately
Hyderabad,2,Kondapur,45000,1503,Flat,Semi-Furnished,East,Main Road,2,2,Family,Immediately
Hyderabad,3,Kondapur,55000,1800,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kompally,23000,1400,Flat,Semi-Furnished,West,Pool,2,1,Bachelors,Immediately
Hyderabad,4,Kondapur,70000,3389,Villa,Furnished,East,Main Road,6,1,Bachelors/Family,Immediately
Hyderabad,4,Hitech City,180000,4761,Flat,Furnished,East,Main Road,6,2,Bachelors/Family,From Feb '26
Hyderabad,1,Banjara Hills,12500,450,Flat,Unfurnished,South - East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,Hitech City,65000,1355,Flat,Furnished,East,Garden/Park,2,1,Bachelors/Family,Immediately
Hyderabad,4,Jubilee Hills,90000,3200,Flat,Semi-Furnished,North,Garden/Park,4,3,Bachelors,Immediately
Hyderabad,2,Kondapur,12000,600,House,Semi-Furnished,North,Main Road,2,2,Bachelors,Immediately
Hyderabad,3,Kondapur,26000,2200,House,Unfurnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,26000,2000,Flat,Unfurnished,East,Garden/Park,3,4,Bachelors,Immediately
Hyderabad,2,Kondapur,18000,600,Flat,Unfurnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,2,Kondapur,15000,950,House,Semi-Furnished,West,Main Road,2,1,Family,From Feb '26
Hyderabad,2,Kondapur,20000,1000,Flat,Furnished,West,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,11000,500,Flat,Unfurnished,North,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,27000,1200,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,1,Kondapur,7500,450,House,Unfurnished,East,Main Road,1,1,Bachelors,Immediately
Hyderabad,2,Kondapur,28000,1362,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Nalagandla,65000,1910,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,110000,500,Flat,Unfurnished,East,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,2,Asif Nagar,15000,845,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,55000,1451,Flat,Furnished,North - East,Garden/Park,3,1,Family,Immediately
Hyderabad,3,Hitech City,55000,1200,Flat,Furnished,North,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Kokapet,60000,2800,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,Kondapur,65000,1585,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,1,Bachelors,Immediately
Hyderabad,10,Kondapur,150000,6800,House,Semi-Furnished,North,Main Road,6,4,Bachelors,Immediately
Hyderabad,3,Kondapur,27000,3200,Flat,Semi-Furnished,East,Main Road,2,3,Bachelors/Family,Immediately
Hyderabad,3,Hafeezpet,48000,1600,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,1,Bachelors,Immediately
Hyderabad,3,Kokapet,75000,1150,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Kollur,30000,1285,Flat,Semi-Furnished,West,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,19000,1100,Flat,Semi-Furnished,East,Garden/Park,2,1,Family,Immediately
Hyderabad,10,Kollur,1200000,50,House,Unfurnished,East,Main Road,6,4,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,45000,2200,Flat,Furnished,East,Garden/Park,3,1,Bachelors/Family,Immediately
Hyderabad,2,Gachibowli,50000,1034,Flat,Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,1,Kondapur,20000,550,Flat,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,Banjara Hills,5000000,3665,Flat,Furnished,South,"Garden/Park, Main Road",4,2,Family,Immediately
Hyderabad,3,Gachibowli,70000,1745,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,From Mar '26
Hyderabad,2,Hitech City,44000,1142,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,15000,1100,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors,Immediately
Hyderabad,4,Kondapur,75000,3200,Villa,Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Gachibowli,67000,2600,House,Semi-Furnished,East,Garden/Park,3,1,Family,Immediately
Hyderabad,3,Kompally,35000,1890,Flat,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",3,1,Bachelors/Family,From Feb '26
Hyderabad,3,Kondapur,29000,1500,House,Unfurnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,46000,2800,Villa,Furnished,East,"Garden/Park, Pool",3,2,Bachelors,Immediately
Hyderabad,3,Kondapur,20000,1500,Flat,Unfurnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,6,Gachibowli,220000,5000,Villa,Semi-Furnished,North - East,Garden/Park,6,1,Family,Immediately
Hyderabad,4,Kompally,35000,230,Villa,Semi-Furnished,West,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,Kondapur,25000,1500,Flat,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,Bachelors,Immediately
Hyderabad,2,Miyapur,28000,990,Flat,Furnished,West,"Garden/Park, Main Road",2,1,Bachelors,From Feb '26
Hyderabad,3,Gachibowli,70000,2490,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,32000,1900,House,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Chanda Nagar,30000,1286,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,62000,1850,Flat,Furnished,East,"Garden/Park, Main Road",3,3,Bachelors,Immediately
Hyderabad,4,Kondapur,55000,1450,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors,Immediately
Hyderabad,2,Kondapur,15000,1160,Flat,Unfurnished,East,Main Road,2,1,Bachelors/Family,From Feb '26
Hyderabad,2,Kompally,23000,1350,Flat,Semi-Furnished,West,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kokapet,110000,1935,Flat,Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kukatpally,37000,1500,House,Semi-Furnished,East,Main Road,3,2,Family,Immediately
Hyderabad,4,Kondapur,75000,2800,Villa,Semi-Furnished,West,"Garden/Park, Pool, Main Road",4,1,Bachelors/Family,Immediately
Hyderabad,4,Kondapur,67000,1550,Flat,Furnished,North - East,Main Road,4,1,Bachelors,Immediately
Hyderabad,3,Tellapur,50000,2500,Villa,Semi-Furnished,East,Main Road,4,1,Bachelors/Family,Immediately
Hyderabad,4,Kondapur,36000,3391,House,Semi-Furnished,East,Main Road,4,1,Family,Immediately
Hyderabad,3,Uppal,25000,1500,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,26000,1605,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Nizampet,26000,1700,Flat,Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,38000,2100,Flat,Unfurnished,North,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,1,Kondapur,10000,750,Flat,Unfurnished,West,Main Road,1,1,Family,Immediately
Hyderabad,3,Tellapur,56000,2083,Flat,Semi-Furnished,East,"Main Road, Garden/Park",3,3,Bachelors/Family,From Mar '26
Hyderabad,2,Kondapur,24000,180,Flat,Semi-Furnished,East,Main Road,2,1,Family,Immediately
Hyderabad,2,Kondapur,22500,980,Flat,Semi-Furnished,East,Garden/Park,2,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,28000,1101,Flat,Semi-Furnished,East,Main Road,2,1,Family,From Feb '26
Hyderabad,4,Kokapet,290000,5100,Villa,Semi-Furnished,East,Garden/Park,5,1,Bachelors,Immediately
Hyderabad,3,Manikonda,45000,1700,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Bachupally,25000,1860,Villa,Semi-Furnished,West,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,15000,650,House,Semi-Furnished,West,Main Road,1,1,Bachelors/Family,From Feb '26
Hyderabad,3,Whitefield,42000,2000,Flat,Furnished,East,Garden/Park,3,2,Bachelors,From Feb '26
Hyderabad,2,Narsingi,31500,1000,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,3,Uppal,57000,1200,Flat,Semi-Furnished,North,Garden/Park,2,2,Bachelors/Family,Immediately
Hyderabad,2,Financial District,53000,1000,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,12000,1000,Flat,Unfurnished,North - East,Main Road,2,2,Bachelors/Family,From Jan '26
Hyderabad,2,Kondapur,22000,1362,Flat,Unfurnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kokapet,75000,1796,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,2,Nizampet,19000,1050,Flat,Semi-Furnished,East,Main Road,2,1,Family,Immediately
Hyderabad,2,Kondapur,11000,1500,House,Semi-Furnished,West,Main Road,2,3,Bachelors/Family,Immediately
Hyderabad,3,Narsingi,70000,1660,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors,Immediately
Hyderabad,2,Miyapur,32000,1214,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,1,Miyapur,15000,700,House,Unfurnished,East,Main Road,1,3,Bachelors/Family,Immediately
Hyderabad,3,Madhapur,38000,1488,Flat,Semi-Furnished,North,Main Road,3,2,Bachelors,Immediately
Hyderabad,3,Kondapur,10000,1500,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Gachibowli,70000,2190,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,1,Bachelors,Immediately
Hyderabad,1,Kondapur,7000,1100,House,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,17000,1000,House,Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Miyapur,50000,1495,Flat,Semi-Furnished,East,Garden/Park,2,3,Bachelors,Immediately
Hyderabad,3,Kondapur,55000,1995,Flat,Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,1,Kondapur,12500,800,Flat,Unfurnished,North - East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,25000,1210,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors,From Mar '26
Hyderabad,3,Kondapur,55000,1686,Flat,Semi-Furnished,North,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,4,Jubilee Hills,150000,3045,Flat,Furnished,North,Main Road,4,2,Bachelors,From Apr '26
Hyderabad,2,Kondapur,21500,1800,House,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,From Mar '26
Hyderabad,2,Kondapur,20000,150,House,Unfurnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,35000,1585,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,18000,850,Flat,Unfurnished,North - East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kukatpally,44000,1540,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors,Immediately
Hyderabad,3,Narsingi,64000,1700,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,75000,2300,Flat,Semi-Furnished,East,"Garden/Park, Main Road",4,4,Bachelors,Immediately
Hyderabad,2,Secunderabad,12000,1100,House,Unfurnished,East,Main Road,2,1,Family,Immediately
Hyderabad,2,Kondapur,19800,750,Flat,Unfurnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kukatpally,30000,1460,Villa,Semi-Furnished,West,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,4,Tellapur,130000,3223,Villa,Semi-Furnished,West,Main Road,4,1,Bachelors,Immediately
Hyderabad,3,Kondapur,69000,2000,Flat,Semi-Furnished,East,Garden/Park,4,2,Bachelors/Family,From Feb '26
Hyderabad,3,Kondapur,30000,1950,Villa,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Narsingi,38000,1717,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,1,Uppal,9000,95,Flat,Unfurnished,North,Main Road,1,2,Bachelors,Immediately
Hyderabad,3,Kondapur,45000,3200,Flat,Furnished,North - East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,30000,1400,Flat,Semi-Furnished,North - East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Uppal,75000,1982,Flat,Semi-Furnished,West,"Garden/Park, Main Road",3,1,Bachelors/Family,Immediately
Hyderabad,4,Tellapur,120000,4660,Villa,Semi-Furnished,West,"Pool, Garden/Park, Main Road",5,2,Bachelors,Immediately
Hyderabad,3,Miyapur,35000,1500,Flat,Furnished,East,"Garden/Park, Pool, Main Road",3,3,Bachelors,Immediately
Hyderabad,1,Hafeezpet,20000,500,Flat,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,Gachibowli,65000,1715,Flat,Unfurnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,2,Nalagandla,38000,980,Flat,Semi-Furnished,East,Garden/Park,2,2,Bachelors,Immediately
Hyderabad,2,Kondapur,25000,900,House,Semi-Furnished,East,"Garden/Park, Pool",2,1,Bachelors,From Jan '26
Hyderabad,1,Kondapur,8500,900,House,Unfurnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,28000,1213,House,Semi-Furnished,South - East,Garden/Park,2,4,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,29000,1500,Flat,Semi-Furnished,North,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,1,Kondapur,6500,100,Flat,Unfurnished,North,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,140000,2000,Flat,Semi-Furnished,West,"Garden/Park, Pool",4,1,Bachelors,Immediately
Hyderabad,1,Kondapur,26000,500,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,25000,1250,Flat,Semi-Furnished,North,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,60000,1700,Flat,Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,3,Kondapur,49500,1800,Flat,Furnished,East,Main Road,3,2,Family,Immediately
Hyderabad,3,Kondapur,55000,1690,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,1,Bachelors/Family,Immediately
Hyderabad,3,Narsingi,60000,1500,Flat,Semi-Furnished,West,Main Road,3,1,Bachelors,Immediately
Hyderabad,3,Kondapur,75000,2244,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,25000,240,House,Semi-Furnished,North,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
Hyderabad,5,Banjara Hills,150000,3900,House,Furnished,East,Main Road,5,3,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,45000,2500,Flat,Furnished,East,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,4,Kompally,58000,2600,Villa,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,2,Family,Immediately
Hyderabad,2,Kukatpally,18000,797,Flat,Unfurnished,West,Main Road,2,1,Family,Immediately
Hyderabad,3,Nalagandla,60000,1900,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,Bachelors/Family,Immediately
Hyderabad,3,Manikonda,65000,2000,Flat,Semi-Furnished,West,"Garden/Park, Main Road",3,3,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,49000,1685,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,1,Bachelors/Family,Immediately
Hyderabad,3,Hafeezpet,50000,1523,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,24000,1200,House,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,1,Narsingi,15000,500,Flat,Semi-Furnished,East,Main Road,1,1,Bachelors,Immediately
Hyderabad,3,Kondapur,26000,1800,Flat,Semi-Furnished,North - East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,28000,823,Flat,Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kokapet,80000,1796,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,Kondapur,18000,1250,House,Unfurnished,East,"Garden/Park, Main Road",3,1,Bachelors/Family,Immediately
Hyderabad,2,Miyapur,20000,823,Flat,Furnished,East,Main Road,2,2,Bachelors,Immediately
Hyderabad,3,Gachibowli,70000,1900,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors/Family,Immediately
Hyderabad,2,Banjara Hills,35000,900,Flat,Furnished,North,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,30000,1500,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Secunderabad,25000,1700,House,Semi-Furnished,North,Main Road,3,2,Bachelors,Immediately
Hyderabad,3,Miyapur,30000,1545,Flat,Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,18000,1400,House,Unfurnished,North - East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,30000,1560,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",2,1,Bachelors/Family,Immediately
Hyderabad,3,Tellapur,47000,2560,Villa,Semi-Furnished,East,Garden/Park,4,1,Bachelors/Family,Immediately
Hyderabad,4,Tellapur,130000,3500,Villa,Furnished,East,Main Road,4,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,15000,1400,House,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,3,Kondapur,45000,1350,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,Punjagutta,60000,1328,Flat,Semi-Furnished,North,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,4,Gachibowli,85000,2400,Flat,Furnished,East,"Garden/Park, Main Road",4,3,Bachelors,Immediately
Hyderabad,1,Uppal,30000,650,Flat,Furnished,North,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,1,Uppal,14000,600,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
